dataset,model_name,k,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall
traditional_lihc,B4_structural_context_income,2,0.574200442783131,0.0249605546867608,0.3990838812440976,0.0324539666358313,0.6138348450010016,0.012520829295966,0.6485623003194888,0.5544855011982386,0.6863690485410264,0.5474391998436315,0.6142748956268176
traditional_lihc,B4_structural_context_income,3,0.5162381464437437,0.0828415821267644,0.3983023495490314,0.0581820445774116,0.563330400983431,0.0821515239658041,0.6283280085197018,0.5262527362677382,0.6687065894954218,0.5171207736040886,0.6075583151710424
hqrtm_q60,B4_structural_context_income,3,0.4603766614813189,0.0391767194287663,0.3944674502378351,0.0167219182945601,0.4550284267878574,0.0237672595337863,0.5360312389066383,0.518654535405398,0.5399050171812724,0.5082871516786125,0.5364155750451174
hqrtm_q60,B4_structural_context_income,4,0.4378479205809126,0.0519994334881052,0.3582535978909127,0.0205517241597915,0.4224607032946531,0.0516315536999842,0.5257365992190274,0.5154032864168377,0.5299645357070815,0.5054027040974554,0.5360934190141562
hqrtm_q60,B4_structural_context_income,2,0.4556979642332384,0.0241185533559593,0.3658065827878428,0.0055259138726432,0.4434609377655161,0.0083823392376798,0.5299964501242457,0.510603183708078,0.5345095354325566,0.5028204097195829,0.5298670109798908
traditional_lihc,B4_structural_context_income,4,0.5955031636022219,0.0620479573730455,0.4333855469348018,0.0422887809042066,0.6303503843344553,0.0576028771219549,0.6215832445864394,0.5079746769533566,0.663784184786997,0.4994468210208793,0.6046832269656274
hqrtm_q70,B4_structural_context_income,3,0.4813170777763185,0.0851390426168388,0.3953589396445076,0.0560469512672882,0.4899760023377119,0.0625194926065094,0.5512957046503373,0.498110124755918,0.5654007578761865,0.4885341843726205,0.5193894403792991
hqrtm_q65,B4_structural_context_income,2,0.4358000789227051,0.0540122431809021,0.3521006592497487,0.0308461912106464,0.4506513596056856,0.0365750258384236,0.5257365992190274,0.4910860889292079,0.5355690266887332,0.4761447966390943,0.5210612164756299
traditional_lihc,B3_structural_income,2,0.560160565247386,0.0307984046020032,0.4271983469662894,0.0008218106347455,0.6067507315350756,0.0129515464336826,0.6052538161164359,0.4845144880286142,0.6467362560605867,0.4787440722262562,0.5737395514577257
traditional_lihc,B3_structural_income,3,0.5350149699334371,0.0527201108262544,0.4002455116350514,0.0363206769909727,0.5780096428734444,0.0566026442850791,0.6052538161164359,0.4845144880286142,0.6467362560605867,0.4787440722262562,0.5737395514577257
hqrtm_q70,B4_structural_context_income,2,0.4733492577905309,0.0535058361856971,0.3848713092622061,0.0222483420911729,0.4840483023463927,0.0451814428785661,0.5264465743698971,0.4788887423991457,0.5439997883194183,0.4683560427041475,0.5160508810953441
hqrtm_q65,B4_structural_context_income,4,0.4660597775564014,0.0362071185371703,0.3748763125085387,0.0087781800542808,0.4683801519643548,0.0189047516888476,0.5228966986155484,0.4733547811606073,0.5314646697728282,0.4551401645130474,0.5045337772645867
hqrtm_q60,B3_structural_income,2,0.4186751828774955,0.0337597947459502,0.3603861475268474,0.0273975564599678,0.4290565775072584,0.0142771229755647,0.5147319843805467,0.4728602127461407,0.5212055730827744,0.4567776408228961,0.5040025517233351
hqrtm_q70,B3_structural_income,2,0.4613492927729096,0.0049791271887619,0.3812617846807893,0.0051881675683622,0.4851963408239382,0.0120474954370088,0.5353212637557685,0.4722496634547275,0.5497689616872076,0.4554135975858641,0.5096534975857266
hqrtm_q65,B3_structural_income,3,0.4119893936925551,0.0463609744578794,0.3585590162752294,0.0069904013928995,0.4195736806002836,0.0446740128868306,0.516506922257721,0.471090117683797,0.527836037141098,0.4536866338877274,0.5117034312218248
hqrtm_q65,B3_structural_income,4,0.4648385450030927,0.0333688965573474,0.3951532628292137,0.0234396464629683,0.4747878881664163,0.0261771248895434,0.516506922257721,0.471090117683797,0.527836037141098,0.4536866338877274,0.5117034312218248
traditional_lihc,B3_structural_income,4,0.5576574056842762,0.0527273096713899,0.4154042582996663,0.0218303558988762,0.5972037627804231,0.0487699097441601,0.5981540646077387,0.4688235604616322,0.6400889000301943,0.4623148152383067,0.544191061262989
hqrtm_q65,B4_structural_context_income,3,0.4279515188192381,0.0914839165044375,0.3506303367142983,0.029523508287501,0.4177079467856385,0.0959142200612458,0.5154419595314164,0.4650196554942454,0.5250356071086067,0.4493294817978283,0.4935636977609636
hqrtm_q70,B3_structural_income,4,0.4517720316984542,0.0483852836516868,0.3803901080947623,0.00825704157418,0.4629387702774175,0.0509464055152745,0.5154419595314164,0.4549431382206186,0.5324167652137657,0.438126188152667,0.4998584026847473
hqrtm_q70,B4_structural_context_income,4,0.5053570710186182,0.0764163197559377,0.3691624788508232,0.0301697795972427,0.5023463450108101,0.0428584450784709,0.5133120340788072,0.4528202598488975,0.5311529770674646,0.4403188462407129,0.4917004946295835
hqrtm_q60,B3_structural_income,4,0.4527790765001399,0.0199272761048672,0.3934001198811646,0.0227762662171952,0.4581429855727583,0.020379729404936,0.4937877174298899,0.4477016942232203,0.5014407155981617,0.4313988671877394,0.4878907468085162
hqrtm_q60,B3_structural_income,3,0.4354870051238523,0.030176203907906,0.377561743513559,0.0285917395415938,0.4427755533544318,0.0293426614108439,0.4923677671281505,0.4437233563088903,0.49980165814974,0.4308688216639431,0.4876160760560822
hqrtm_q70,B3_structural_income,3,0.4374869047649559,0.0246452460232949,0.3671771152976401,0.0399404003124198,0.4552033530915196,0.0293046386194067,0.5086971955981541,0.442543620784586,0.5273734060598984,0.4290759504952332,0.4895175412938678
hqrtm_q65,B3_structural_income,2,0.4392899422877719,0.062330941316994,0.3633758684492569,0.0341391141335851,0.4546963243864222,0.0460185169411744,0.4763933262335818,0.4192985844422605,0.4917328673448161,0.4102264512962902,0.4697676003000249
traditional_lihc,B2_structural_context,2,0.591809639325635,0.0053529034531407,0.3825736590116451,0.0066236696141348,0.6217630181127605,0.0077078508532447,0.5321263755768548,0.3998936183295595,0.5798512960151903,0.3883632710652758,0.5143484846420658
traditional_lihc,B2_structural_context,4,0.5450716020948854,0.0469832841503285,0.3698518044098292,0.0413494430434625,0.5894280742548217,0.037727268499798,0.5331913383031593,0.3968723063700188,0.5794895964498812,0.387639143589261,0.4900999452370418
traditional_lihc,B2_structural_context,3,0.5775902181765012,0.0379529783059196,0.3654661252877003,0.0124662733924094,0.6095425768496291,0.0225391156720075,0.5097621583244586,0.3890092645284539,0.560051204346571,0.3837296374452141,0.5125158723302671
hqrtm_q60,B2_structural_context,4,0.4227244959225602,0.0331977700278647,0.3207221172695275,0.0160136792462261,0.4067416749873729,0.0374584262945393,0.4334398296059638,0.3767346999238685,0.4521461693155451,0.3689312220240748,0.4497559279636349
traditional_lihc,B1_structural,3,0.5257490563932289,0.0309472299862064,0.3626081615390313,0.0143800576257538,0.5739170607177287,0.0204472720690418,0.5154419595314164,0.3766646452404878,0.566075805344553,0.3710106404212503,0.4880601424435529
traditional_lihc,B1_structural,4,0.5005333347240288,0.0435133303806396,0.3526193814824978,0.0198065469558887,0.5523487395906548,0.0369189439387519,0.5090521831735889,0.3742478352018537,0.5603182829620046,0.3692239620906,0.4860100206357065
hqrtm_q60,B2_structural_context,2,0.4020396037349008,0.0307199562890882,0.3183927010378388,0.0057012982349469,0.3968304700248961,0.0202041864604248,0.4238551650692225,0.3714436385914402,0.443082732259804,0.3637453676748051,0.4492220902990745
hqrtm_q60,B2_structural_context,3,0.3817267612783843,0.0447729775093041,0.3213842682213439,0.028998268620569,0.3844022875372978,0.0487782326438694,0.4195953141640042,0.3711342955028241,0.4385472439253062,0.363793469917648,0.454874109773273
traditional_lihc,B1_structural,2,0.5250483589519297,0.0187774075864715,0.3557473523020767,0.0130834356368905,0.5753917134227147,0.0178915772619728,0.5079872204472844,0.3688016277992668,0.5596025322153209,0.3662548202243021,0.4637136378756554
hqrtm_q70,B2_structural_context,2,0.3913164766106918,0.0848362340940032,0.3151204839557753,0.0159724033923744,0.4066300193348662,0.0899060004825037,0.4373446929357472,0.3576714067587356,0.4658740523194563,0.3546375955251256,0.4200385516742584
hqrtm_q70,B2_structural_context,4,0.4456184347959201,0.0660058300642284,0.314696403995107,0.0048596323816023,0.4526083738440664,0.0273152758341819,0.4249201277955272,0.3573106613041477,0.4533721504814018,0.3574993412916091,0.4167905701615491
hqrtm_q70,B2_structural_context,3,0.45563248741296,0.0546956152845223,0.3212975568608194,0.0107136159180191,0.4564056957594459,0.0280371235418852,0.4316648917287894,0.3565689600007024,0.4609762005203143,0.3573570046099492,0.4180821769180012
hqrtm_q65,B2_structural_context,2,0.4263441523208208,0.0200014987259619,0.3106266961077801,0.0452791914106442,0.4216722091925178,0.0306225598750955,0.4181753638622648,0.3539074141626882,0.4435610022044826,0.3517295695069656,0.4301891789174756
hqrtm_q60,B1_structural,3,0.3964475654805152,0.0374917595682499,0.3305592532126203,0.0355130858972881,0.4214606722976454,0.0256701060686525,0.4029108981185658,0.3451308731066732,0.4256690704119908,0.3422517312868079,0.4156896092077905
hqrtm_q60,B1_structural,2,0.3743050744925364,0.0049255965872143,0.3174967222445041,0.0103813686834381,0.3996773512446188,0.0089643792958036,0.4014909478168264,0.3425783662723996,0.4247366704903134,0.3411095874966166,0.4103753629081429
hqrtm_q60,B1_structural,4,0.4078700611723208,0.0171553919194614,0.3355382667054341,0.0247576923681878,0.4322162856681306,0.0179940878079926,0.4014909478168264,0.3425783662723996,0.4247366704903134,0.3411095874966166,0.4103753629081429
hqrtm_q65,B2_structural_context,4,0.3757259196230659,0.0248718353623522,0.310587688197793,0.0125376519563541,0.3825325672710631,0.0379744794762487,0.3997160099396521,0.3361562912074514,0.4285288981301563,0.3399904367196422,0.4046283510362852
hqrtm_q65,B2_structural_context,3,0.3602092167437995,0.0557327801524578,0.2923422825406386,0.0383356875691046,0.3561695423235782,0.0819389842707616,0.3968761093361732,0.3357910998583282,0.4244886384380427,0.3423022622585498,0.3983859499975311
hqrtm_q70,B1_structural,2,0.4261405376701915,0.0204305793370664,0.3370329570331472,0.0031443151421876,0.4556412727776608,0.0084131285687631,0.4224352147674831,0.3330183253137263,0.4578617156207558,0.3378269852699298,0.3863238926663319
hqrtm_q70,B1_structural,3,0.4472771609360171,0.0359818956100589,0.3333196884759533,0.0127053614217517,0.4683883748718252,0.0210046130251293,0.4117855875044373,0.3232627218177305,0.4474498328084318,0.3298037130757109,0.3727436338919728
hqrtm_q65,B1_structural,4,0.3970215113140521,0.0644366713408642,0.3352906859431334,0.0443638614331335,0.4217806184096106,0.0560471924862647,0.3982960596379126,0.3226616481108504,0.4319129797726483,0.3313876258777338,0.3752073755413651
hqrtm_q70,B1_structural,4,0.4220867818165476,0.0336934686769945,0.3379971349651983,0.022022164858428,0.4534581425823413,0.0316646536331591,0.4117855875044373,0.3224959424886435,0.4481396912815981,0.3293839842312825,0.3728133773148838
hqrtm_q65,B1_structural,2,0.3921780200266364,0.0302141394565602,0.3280330490713167,0.0128644442614483,0.4209983938237123,0.0238952556525508,0.3965211217607384,0.3221820140040752,0.4317237604970517,0.3332368140937815,0.3795535249978636
hqrtm_q65,B1_structural,3,0.3956233301976546,0.0411545898323025,0.3318024380796225,0.0404954621175167,0.4250173777839441,0.0315759065178581,0.3951011714589989,0.3199931996883003,0.4296887118932578,0.329635765194182,0.3725424863671372
